Name,Price,Year,Mileage,Additional Details,Location,Link,Label
TOYOTA COROLLA VERSO MANUAL DIESEL 7 SEATER 2009,"£1,650",2009," 115,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 2,213 cc","Neasden, London",https://www.gumtree.com/p/toyota/toyota-corolla-verso-manual-diesel-7-seater-2009/1429761704,BCLV
2016 Hyundai i800 2.5 CRDi SE Auto Euro 6 5dr +8 Seater +ULEZ +Euro6 +Bluetooth,"£12,980",2016," 128,100 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 2,497 cc","Edmonton, London",https://www.gumtree.com/p/hyundai/2016-hyundai-i800-2.5-crdi-se-auto-euro-6-5dr-8-seater-ulez-euro6-bluetooth/1428474483,BCLV
Fiat 500 1.2 Lounge Dualogic (s/s) 3dr Petrol,"£8,795",2013," 24,768 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,242 cc","Mitcham, London",https://www.gumtree.com/p/fiat/fiat-500-1.2-lounge-dualogic-s-s-3dr-petrol/1422269891,GCHV
BMW 120,"£2,750",2012," 160,000 miles","Fuel type: Diesel, Engine size: 1,995 cc","Chingford, London",https://www.gumtree.com/p/bmw/bmw-120/1430712934,BCLV
Pco Toyota Prius plus,"£20,500",2017," 95,000 miles",Fuel type: Hybrid Electric,"Heathrow, London",https://www.gumtree.com/p/toyota/pco-toyota-prius-plus-/1428551665,BCHV
53 REG LAND ROVER DISCOVERY 2.5 TD5 AUTOMATIC 7 SEATER,"£4,995",2003," 128,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 2,495 cc","Romford, London",https://www.gumtree.com/p/land-rover/53-reg-land-rover-discovery-2.5-td5-automatic-7-seater/1431286609,GCLV
2015 Ford Fiesta 1.25 82 Zetec 3dr HATCHBACK Petrol Manual,"£7,145",2015," 51,350 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,241 cc","Palmers Green, London",https://www.gumtree.com/p/ford/2015-ford-fiesta-1.25-82-zetec-3dr-hatchback-petrol-manual/1431286608,GCLV
2012 AUTOMATIC AUDI A4 2.0 BLACK EDITION AVANT,"£10,950",2012," 92,000 miles","Fuel type: Petrol, Engine size: 1,984 cc","Islington, London",https://www.gumtree.com/p/audi/2012-automatic-audi-a4-2.0-black-edition-avant/1431286493,BCHV
Dacia Sandero DACIA SANDERO 1.0 SCe Essential 5dr Petrol,"£7,400",2019," 50,940 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 998 cc","Enfield, London",https://www.gumtree.com/p/dacia/dacia-sandero-dacia-sandero-1.0-sce-essential-5dr-petrol/1428268854,GCLV
BMW 5 Series 3.0 530d M Sport Auto (s/s) 4dr Diesel,"£27,489",2018," 37,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 2,993 cc","Norbury, London",https://www.gumtree.com/p/bmw/bmw-5-series-3.0-530d-m-sport-auto-s-s-4dr-diesel/1423477273,GCHV
Honda JAZZ/FIT 1.3 Hybrid 5 Seats ULEZ Free Hatchback Petrol/Electric Hybrid A,"£7,695",2011," 40,300 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,300 cc","Hornchurch, London",https://www.gumtree.com/p/honda/honda-jazz-fit-1.3-hybrid-5-seats-ulez-free-hatchback-petrol-electric-hybrid-a/1429912429,GCHV
BMW 520D 2.0 xDrive M Sport Diesel,"£25,299",2018," 22,600 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,995 cc","West London, London",https://www.gumtree.com/p/bmw/bmw-520d-2.0-xdrive-m-sport-diesel/1425521656,GCLV
2009 Toyota Prius 1.8 VVT-h T Spirit CVT 5dr +Rear Cam +Nav. +USB +Bluetooth +UL,"£8,480",2009," 70,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,798 cc","Edmonton, London",https://www.gumtree.com/p/toyota/2009-toyota-prius-1.8-vvt-h-t-spirit-cvt-5dr-rear-cam-nav.-usb-bluetooth-ul/1428788477,GCHV
Renault Kadjar RENAULT KADJAR 1.2 TCE Dynamique Nav 5dr Petrol,"£12,200",2016," 31,553 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,197 cc","Orpington, London",https://www.gumtree.com/p/renault/renault-kadjar-renault-kadjar-1.2-tce-dynamique-nav-5dr-petrol/1428643811,GCLV
Mazda CX-3 2.0 Sport Nav + AWD Petrol,"£15,799",2018," 8,164 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,998 cc","West London, London",https://www.gumtree.com/p/mazda/mazda-cx-3-2.0-sport-nav-awd-petrol/1426614987,GCLV
2019 Vauxhall CROSSLAND X 1.2 Turbo ecoTEC GPF SE SUV 5dr Petrol Manual Euro 6 (,"£12,800",2019," 28,481 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,199 cc","Croydon, London",https://www.gumtree.com/p/vauxhall/2019-vauxhall-crossland-x-1.2-turbo-ecotec-gpf-se-suv-5dr-petrol-manual-euro-6-/1429442686,BCLV
"2009 FORD FOCUS 1.8 TDCi Zetec 5dr *Full Service History, Two Ex-Owners*","£1,899",2009," 155,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,753 cc","Heathrow, London",https://www.gumtree.com/p/ford/2009-ford-focus-1.8-tdci-zetec-5dr-full-service-history-two-ex-owners-/1424640916,BCLV
Renault Koleos 2.0 dCi Signature Nav Xtronic 4WD Diesel,"£19,499",2017," 25,323 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,995 cc","West London, London",https://www.gumtree.com/p/renault/renault-koleos-2.0-dci-signature-nav-xtronic-4wd-diesel/1426615522,GCHV
2018 Kia Sportage 1.6T GDi ISG 4 5dr CrossOver Petrol Manual,"£21,599",2018," 12,718 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,591 cc","East London, London",https://www.gumtree.com/p/kia/2018-kia-sportage-1.6t-gdi-isg-4-5dr-crossover-petrol-manual/1425743136,GCLV
2019 Nissan Micra 0.9 IG-T Acenta Limited Edition 5dr Manual Hatchback Petrol Ma,"£13,475",2019," 12,470 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 898 cc","Bromley, London",https://www.gumtree.com/p/nissan/2019-nissan-micra-0.9-ig-t-acenta-limited-edition-5dr-manual-hatchback-petrol-ma/1430372479,GCHV
2019 Ford Ecosport 1.0 EcoBoost 125 Titanium 5dr Manual Hatchback Petrol Manual,"£15,000",2019," 15,795 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 998 cc","Barking, London",https://www.gumtree.com/p/ford/2019-ford-ecosport-1.0-ecoboost-125-titanium-5dr-manual-hatchback-petrol-manual/1430905187,GCLV
2019 Ford Focus 1.0 EcoBoost 125 Titanium 5dr Auto Automatic Estate Petrol Autom,"£17,800",2019," 13,522 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 999 cc","Barking, London",https://www.gumtree.com/p/ford/2019-ford-focus-1.0-ecoboost-125-titanium-5dr-auto-automatic-estate-petrol-autom/1430904997,GCLV
2010 Mercedes-Benz C Class 1.8 C180 BlueEfficiency SE 7G-Tronic 4dr +Auto +Petro,"£5,980",2010," 78,400 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,796 cc","Edmonton, London",https://www.gumtree.com/p/mercedes-benz/2010-mercedes-benz-c-class-1.8-c180-blueefficiency-se-7g-tronic-4dr-auto-petro/1423708747,GCHV
Vauxhall Insignia 1.5 T Design Nav Petrol,"£12,499",2018," 33,910 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,490 cc","West London, London",https://www.gumtree.com/p/vauxhall/vauxhall-insignia-1.5-t-design-nav-petrol/1430143744,BCHV
2014 Nissan Juke 1.6 Tekna 5dr Xtronic HATCHBACK Petrol Automatic,"£9,990",2014," 30,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,598 cc","Edgware, London",https://www.gumtree.com/p/nissan/2014-nissan-juke-1.6-tekna-5dr-xtronic-hatchback-petrol-automatic/1428644260,GCLV
Audi RS6 Avant 4.0 TFSI V8 Vorsprung Tiptronic quattro (s/s) 5dr Petrol,"£128,990",2021," 1,470 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 3,996 cc","City of London, London",https://www.gumtree.com/p/audi/audi-rs6-avant-4.0-tfsi-v8-vorsprung-tiptronic-quattro-s-s-5dr-petrol/1427030784,GCLV
Honda Civic 1.8 i-VTEC EX 5dr Petrol,"£9,695",2012," 57,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,798 cc","Tooting, London",https://www.gumtree.com/p/honda/honda-civic-1.8-i-vtec-ex-5dr-petrol/1431060884,GCHV
Renault Captur RENAULT CAPTUR 0.9 TCE 90 Dynamique S Nav 5dr Petrol,"£11,500",2018," 37,113 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 898 cc","Romford, London",https://www.gumtree.com/p/renault/renault-captur-renault-captur-0.9-tce-90-dynamique-s-nav-5dr-petrol/1428268241,BCLV
2020 Honda HONDA E 35.5kWh Advance Hatchback 5dr Electric Auto (17in Alloy) (154,"£29,950",2020," 4,684 miles","Seller type: Trade, Fuel type: Electric, Engine size: 1 cc","Chiswick, London",https://www.gumtree.com/p/honda/2020-honda-honda-e-35.5kwh-advance-hatchback-5dr-electric-auto-17in-alloy-154/1426615608,GCLV
Audi A6 2.0 TDi 190 Ultra S-Line Avant S-Tronic Diesel,"£19,299",2016," 33,787 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,968 cc","West London, London",https://www.gumtree.com/p/audi/audi-a6-2.0-tdi-190-ultra-s-line-avant-s-tronic-diesel/1427031117,GCLV
2019 Fiat Tipo 1.6 MultiJetII Lounge Euro 6 (s/s) 5dr +Rear Cam +Nav. +ULEZ +Hea,"£9,980",2019," 48,200 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,598 cc","Edmonton, London",https://www.gumtree.com/p/fiat/2019-fiat-tipo-1.6-multijetii-lounge-euro-6-s-s-5dr-rear-cam-nav.-ulez-hea/1428175281,BCLV
"Ford, ECOSPORT, Hatchback, 2019, Semi-Auto, 999 (cc), 5 doors","£17,000",2019," 17,000 miles","Fuel type: Petrol, Engine size: 999 cc","Barnet, London",https://www.gumtree.com/p/ford/ford-ecosport-hatchback-2019-semi-auto-999-cc-5-doors/1430827500,GCHV
2011 Mercedes-Benz C Class C180 CGI BlueEFFICIENCY Executive SE 5dr Auto Estate,"£10,590",2011," 51,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,796 cc","Surbiton, London",https://www.gumtree.com/p/mercedes-benz/2011-mercedes-benz-c-class-c180-cgi-blueefficiency-executive-se-5dr-auto-estate-/1430501437,GCHV
ALPHA ROMEO MITO 1.4 Manual Petrol £1450,"£1,450",2009," 137,600 miles","Fuel type: Petrol, Engine size: 1,368 cc","Edmonton, London",https://www.gumtree.com/p/alfa-romeo/alpha-romeo-mito-1.4-manual-petrol-£1450/1431211590,BCLV
BMW 5 SERIES 520 D AUTOMATIC,"£7,000",2013," 129,800 miles","Fuel type: Diesel, Engine size: 2 cc","Uxbridge, London",https://www.gumtree.com/p/bmw/bmw-5-series-520-d-automatic-/1429337250,BCHV
2016 Kia Sportage 1.6 2 ISG Estate PETROL Manual,"£14,995",2016," 29,594 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,591 cc","Sidcup, London",https://www.gumtree.com/p/kia/2016-kia-sportage-1.6-2-isg-estate-petrol-manual/1430596416,GCHV
2004 VOLKSWAGEN POLO 1.2 E 55 3dr ONLY 32K Miles BRAND NEW CLUTCH,"£3,499",2004," 32,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,198 cc","Heathrow, London",https://www.gumtree.com/p/volkswagen/2004-volkswagen-polo-1.2-e-55-3dr-only-32k-miles-brand-new-clutch/1429912619,GCLV
Audi A1 1.4 TFSI Sport Sportback 5dr Petrol,"£9,750",2013," 37,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,390 cc","Rainham, London",https://www.gumtree.com/p/audi/audi-a1-1.4-tfsi-sport-sportback-5dr-petrol/1425602077,GCHV
2008 BMW 3 SERIES 320i SE 2dr ONE-PREVIOUS OWNER *Recently Fully Serviced*,"£5,699",2008," 51,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,995 cc","Heathrow, London",https://www.gumtree.com/p/bmw/2008-bmw-3-series-320i-se-2dr-one-previous-owner-recently-fully-serviced-/1429442841,GCHV
2010/10 REG FIAT GRANDE PUNTO 1.4 ACTIVE ** 1F KEEPER + ULEZ EXEMPT **,"£1,795",2010," 85,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,368 cc","Tooting, London",https://www.gumtree.com/p/fiat/2010-10-reg-fiat-grande-punto-1.4-active-1f-keeper-ulez-exempt-/1429442796,GCLV
VW Tiguan,"£4,550",2009," 14,000 miles","Fuel type: Diesel, Engine size: 1,968 cc","Colindale, London",https://www.gumtree.com/p/volkswagen/vw-tiguan/1431286315,GCLV
2012 AUTOMATIC VAUXHALL ANTARA 2.2 SE GREAT SPEC,"£4,950",2012," 99,000 miles","Fuel type: Diesel, Engine size: 2,231 cc","Islington, London",https://www.gumtree.com/p/vauxhall/2012-automatic-vauxhall-antara-2.2-se-great-spec-/1431286239,BCHV
Ford Focus 1.8 petrol 2011,"£2,350",2011," 105,000 miles","Fuel type: Petrol, Engine size: 1,798 cc","Enfield, London",https://www.gumtree.com/p/ford/ford-focus-1.8-petrol-2011/1431286173,BCLV
2010 AUDI S3 2.0 DSG QUATTRO 5 DOOR,"£8,250",2010," 96,000 miles","Fuel type: Petrol, Engine size: 1,984 cc","Islington, London",https://www.gumtree.com/p/audi/2010-audi-s3-2.0-dsg-quattro-5-door-/1431285971,BCLV
"Ford, FIESTA, Hatchback, 2009, Manual, 1388 (cc), 5 doors","£1,650",2009," 110,657 miles","Fuel type: Petrol, Engine size: 1,388 cc","Wanstead, London",https://www.gumtree.com/p/ford/ford-fiesta-hatchback-2009-manual-1388-cc-5-doors/1431285968,BCLV
2021 Suzuki Vitara 1.4 SZ-T BOOSTERJET Estate HYBRID ELECTRIC Manual,"£19,895",2021," 1,781 miles","Seller type: Trade, Fuel type: Hybrid Electric, Engine size: 1,373 cc","Bromley, London",https://www.gumtree.com/p/suzuki/2021-suzuki-vitara-1.4-sz-t-boosterjet-estate-hybrid-electric-manual/1431285878,GCLV
Audi TT 225,"£1,300",2001," 201,000 miles",Fuel type: Petrol/Gas,"South Croydon, London",https://www.gumtree.com/p/audi/audi-tt-225/1431285756,BCLV
2013 AUTOMATIC E220D AMG SPORT COUPE,"£11,500",2013," 80,000 miles","Fuel type: Diesel, Engine size: 2,143 cc","Islington, London",https://www.gumtree.com/p/mercedes-benz/2013-automatic-e220d-amg-sport-coupe-/1431285737,BCLV
Land Rover Defender 110 5.0 P525 V8 Auto 4WD (s/s) 5dr Petrol,"£138,990",2021," 3,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 5,000 cc","City of London, London",https://www.gumtree.com/p/land-rover/land-rover-defender-110-5.0-p525-v8-auto-4wd-s-s-5dr-petrol/1427029550,GCLV
2017 Ford Ecosport 1.5 TDCi 95 Zetec 5dr Manual Hatchback Diesel Manual,"£8,300",2017," 80,045 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,499 cc","Barking, London",https://www.gumtree.com/p/ford/2017-ford-ecosport-1.5-tdci-95-zetec-5dr-manual-hatchback-diesel-manual/1430904004,BCLV
"2018 18 REG FORD FIESTA 1.0 ST LINE TURBO, 1 OWNER, HPI CLEAR, SERVICE HISTORY","£10,995",2018," 35,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 998 cc","Redbridge, London",https://www.gumtree.com/p/ford/2018-18-reg-ford-fiesta-1.0-st-line-turbo-1-owner-hpi-clear-service-history/1430371842,BCLV
2018 Nissan Qashqai 1.2 DiG-T N-Connecta [Glass Roof Pack] 5dr Manual Hatchback,"£17,475",2018," 24,967 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,332 cc","Heathrow, London",https://www.gumtree.com/p/nissan/2018-nissan-qashqai-1.2-dig-t-n-connecta-glass-roof-pack-5dr-manual-hatchback-/1429911744,GCHV
2019 Nissan Micra 0.9 IG-T N-Connecta 5dr Manual Hatchback Petrol Manual,"£13,275",2019," 2,969 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 898 cc","South East London, London",https://www.gumtree.com/p/nissan/2019-nissan-micra-0.9-ig-t-n-connecta-5dr-manual-hatchback-petrol-manual/1427240535,GCLV
Hyundai i20 1.2 Active 3dr Petrol,"£3,495",2012," 80,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,248 cc","Heathrow, London",https://www.gumtree.com/p/hyundai/hyundai-i20-1.2-active-3dr-petrol/1424420674,GCLV
2020 Ford Puma 1.0 EcoBoost Hybrid mHEV 155 ST-Line X 1st Ed-Plus 5dr Hatchback,"£24,599",2020," 16,768 miles","Seller type: Trade, Fuel type: Hybrid Electric, Engine size: 999 cc","East London, London",https://www.gumtree.com/p/ford/2020-ford-puma-1.0-ecoboost-hybrid-mhev-155-st-line-x-1st-ed-plus-5dr-hatchback-/1427902599,BCLV
Land Rover Range Rover Velar 2.0 D240 R-Dynamic SE Auto 4WD (s/s) 5dr Diesel,"£43,990",2018," 31,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,999 cc","City of London, London",https://www.gumtree.com/p/land-rover/land-rover-range-rover-velar-2.0-d240-r-dynamic-se-auto-4wd-s-s-5dr-diesel/1425740003,BCHV
Lexus CT 200h 1.8 Sport,"£14,000",2017," 81,633 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,798 cc","West London, London",https://www.gumtree.com/p/lexus/lexus-ct-200h-1.8-sport/1430143657,BCHV
Volkswagen Polo 1.0 TSI R-Line DSG Euro 6 (s/s) 5dr Petrol,"£16,240",2019," 50,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 999 cc","Uxbridge, London",https://www.gumtree.com/p/volkswagen/volkswagen-polo-1.0-tsi-r-line-dsg-euro-6-s-s-5dr-petrol/1429442181,BCLV
2014 Toyota AYGO 1.0 VVT-i Move with Style 5dr MMT HATCHBACK Petrol Automatic,"£7,490",2014," 29,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 998 cc","Edgware, London",https://www.gumtree.com/p/toyota/2014-toyota-aygo-1.0-vvt-i-move-with-style-5dr-mmt-hatchback-petrol-automatic/1429759501,GCLV
"Great Mini. 2 keys, one year mot.","£3,500",2010," 55,013 miles","Fuel type: Petrol, Engine size: 1,598 cc","Greenwich, London",https://www.gumtree.com/p/mini/great-mini.-2-keys-one-year-mot./1431221170,GCLV
GLA220,"£17,900",2015," 37,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 2,143 cc",London,https://www.gumtree.com/p/mercedes-benz/gla220/1429022892,GCLV
2009 Volvo C30 1.6 R DESIGN Sport 3dr HATCHBACK Petrol Manual,"£5,500",2009," 59,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,596 cc","Hornchurch, London",https://www.gumtree.com/p/volvo/2009-volvo-c30-1.6-r-design-sport-3dr-hatchback-petrol-manual/1430542549,GCHV
2007 Citroen Xsara Picasso 1.6i 16V Desire 5dr MPV Petrol Manual,"£1,695",2007," 71,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,587 cc","Leytonstone, London",https://www.gumtree.com/p/citroen/2007-citroen-xsara-picasso-1.6i-16v-desire-5dr-mpv-petrol-manual/1422634301,GCLV
SKODA FABIA 1.6 TDI ELEGANCE ESTATE NEW MOT VGC,"£1,995",2012," 120,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,598 cc","Hornchurch, London",https://www.gumtree.com/p/skoda/skoda-fabia-1.6-tdi-elegance-estate-new-mot-vgc/1431223714,BCLV
Volkswagen Passat 2.0 TDi 190 Alltrack 4Motion DSG Diesel,"£14,799",2016," 73,599 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,968 cc","West London, London",https://www.gumtree.com/p/volkswagen/volkswagen-passat-2.0-tdi-190-alltrack-4motion-dsg-diesel/1430143568,BCHV
2018 Ford Grand C-Max 1.0 EcoBoost 125ps Titanium 5dr ONE OWNER + FULL SERVICE H,"£17,500",2018," 11,575 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 999 cc","Eltham, London",https://www.gumtree.com/p/ford/2018-ford-grand-c-max-1.0-ecoboost-125ps-titanium-5dr-one-owner-full-service-h/1428643257,GCLV
Audi RS6 Avant 4.0 TFSI V8 Carbon Black Tiptronic quattro (s/s) 5dr Petrol,"£97,990",2020," 16,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 3,996 cc","City of London, London",https://www.gumtree.com/p/audi/audi-rs6-avant-4.0-tfsi-v8-carbon-black-tiptronic-quattro-s-s-5dr-petrol/1426394618,BCLV
2018 Ford Grand C-Max C-Max Grand 5Dr Titanium 1.0 100PS Estate Petrol Manual,"£17,499",2018," 13,588 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,000 cc","Enfield, London",https://www.gumtree.com/p/ford/2018-ford-grand-c-max-c-max-grand-5dr-titanium-1.0-100ps-estate-petrol-manual/1428336475,GCLV
